journal_no,line_no,entry_date,branch_code,account,description,debit_amt,credit_amt
JE-00024,1,2026-06-30,RL-KPT,1100,Sales accrual June,385461.94,0
JE-00024,2,2026-06-30,RL-KPT,4000,Sales accrual June,0,379680.01
JE-00024,3,2026-06-30,RL-KPT,4010,Freight recovered June,0,5781.93
JE-00024,4,2026-06-30,RL-KPT,5000,COGS June,277136.39,0
JE-00024,5,2026-06-30,RL-KPT,1200,COGS relief June,0,277136.39
JE-00024,6,2026-06-30,RL-KPT,1010,Customer collections June,373898.08,0
JE-00024,7,2026-06-30,RL-KPT,1100,Customer collections June,0,373898.08
JE-00024,8,2026-06-30,RL-KPT,1200,Inventory receipts June,89150.34,0
JE-00024,9,2026-06-30,RL-KPT,2000,Inventory receipts June,0,89150.34
JE-00024,10,2026-06-30,RL-KPT,2000,Vendor payments June,80235.31,0
JE-00024,11,2026-06-30,RL-KPT,1010,Vendor payments June,0,80235.31
JE-00024,12,2026-06-30,RL-KPT,6100,Payroll June,97500.0,0
JE-00024,13,2026-06-30,RL-KPT,1010,Payroll June,0,97500.0
JE-00024,14,2026-06-30,RL-KPT,6200,Rent June,19500.0,0
JE-00024,15,2026-06-30,RL-KPT,1010,Rent June,0,19500.0
JE-00024,16,2026-06-30,RL-KPT,6300,Utilities June,5400.0,0
JE-00024,17,2026-06-30,RL-KPT,1010,Utilities June,0,5400.0
JE-00024,18,2026-06-30,RL-KPT,6500,Supplies June,3150.0,0
JE-00024,19,2026-06-30,RL-KPT,1010,Supplies June,0,3150.0
JE-00024,20,2026-06-30,RL-KPT,6900,Distributions June,22500.0,0
JE-00024,21,2026-06-30,RL-KPT,1010,Distributions June,0,22500.0
JE-00025,1,2026-06-30,RL-KPT,6400,Insurance premium June,10875.0,0
JE-00025,2,2026-06-30,RL-KPT,1010,Insurance premium June,0,10875.0
JE-00026,1,2026-06-30,RL-JCB,1100,Sales accrual June,233519.4,0
JE-00026,2,2026-06-30,RL-JCB,4000,Sales accrual June,0,230016.61
JE-00026,3,2026-06-30,RL-JCB,4010,Freight recovered June,0,3502.79
JE-00026,4,2026-06-30,RL-JCB,5000,COGS June,167332.78,0
JE-00026,5,2026-06-30,RL-JCB,1200,COGS relief June,0,167332.78
JE-00026,6,2026-06-30,RL-JCB,1010,Customer collections June,226513.82,0
JE-00026,7,2026-06-30,RL-JCB,1100,Customer collections June,0,226513.82
JE-00026,8,2026-06-30,RL-JCB,1200,Inventory receipts June,34903.73,0
JE-00026,9,2026-06-30,RL-JCB,2000,Inventory receipts June,0,34903.73
JE-00026,10,2026-06-30,RL-JCB,2000,Vendor payments June,31413.36,0
JE-00026,11,2026-06-30,RL-JCB,1010,Vendor payments June,0,31413.36
JE-00026,12,2026-06-30,RL-JCB,6100,Payroll June,71500.0,0
JE-00026,13,2026-06-30,RL-JCB,1010,Payroll June,0,71500.0
JE-00026,14,2026-06-30,RL-JCB,6200,Rent June,14300.0,0
JE-00026,15,2026-06-30,RL-JCB,1010,Rent June,0,14300.0
JE-00026,16,2026-06-30,RL-JCB,6300,Utilities June,3960.0,0
JE-00026,17,2026-06-30,RL-JCB,1010,Utilities June,0,3960.0
JE-00026,18,2026-06-30,RL-JCB,6500,Supplies June,2310.0,0
JE-00026,19,2026-06-30,RL-JCB,1010,Supplies June,0,2310.0
JE-00026,20,2026-06-30,RL-JCB,6900,Distributions June,16500.0,0
JE-00026,21,2026-06-30,RL-JCB,1010,Distributions June,0,16500.0
JE-00027,1,2026-06-30,RL-JCB,6400,Insurance premium June,7975.0,0
JE-00027,2,2026-06-30,RL-JCB,1010,Insurance premium June,0,7975.0
JE-00028,1,2026-07-31,RL-BRI,1100,Sales accrual July,562542.44,0
JE-00028,2,2026-07-31,RL-BRI,4000,Sales accrual July,0,554104.3
JE-00028,3,2026-07-31,RL-BRI,4010,Freight recovered July,0,8438.14
JE-00028,4,2026-07-31,RL-BRI,5000,COGS July,400917.33,0
JE-00028,5,2026-07-31,RL-BRI,1200,COGS relief July,0,400917.33
JE-00028,6,2026-07-31,RL-BRI,1010,Customer collections July,545666.17,0
JE-00028,7,2026-07-31,RL-BRI,1100,Customer collections July,0,545666.17
JE-00028,8,2026-07-31,RL-BRI,1200,Inventory receipts July,262770.12,0
JE-00028,9,2026-07-31,RL-BRI,2000,Inventory receipts July,0,262770.12
JE-00028,10,2026-07-31,RL-BRI,2000,Vendor payments July,236493.11,0
JE-00028,11,2026-07-31,RL-BRI,1010,Vendor payments July,0,236493.11
JE-00028,12,2026-07-31,RL-BRI,6100,Payroll July,130000.0,0
JE-00028,13,2026-07-31,RL-BRI,1010,Payroll July,0,130000.0
JE-00028,14,2026-07-31,RL-BRI,6200,Rent July,26000.0,0
JE-00028,15,2026-07-31,RL-BRI,1010,Rent July,0,26000.0
JE-00028,16,2026-07-31,RL-BRI,6300,Utilities July,7200.0,0
JE-00028,17,2026-07-31,RL-BRI,1010,Utilities July,0,7200.0
JE-00028,18,2026-07-31,RL-BRI,6500,Supplies July,4200.0,0
JE-00028,19,2026-07-31,RL-BRI,1010,Supplies July,0,4200.0
JE-00028,20,2026-07-31,RL-BRI,6900,Distributions July,30000.0,0
JE-00028,21,2026-07-31,RL-BRI,1010,Distributions July,0,30000.0
JE-00029,1,2026-07-31,RL-KPT,1100,Sales accrual July,319310.85,0
JE-00029,2,2026-07-31,RL-KPT,4000,Sales accrual July,0,314521.19
JE-00029,3,2026-07-31,RL-KPT,4010,Freight recovered July,0,4789.66
JE-00029,4,2026-07-31,RL-KPT,5000,COGS July,237371.62,0
JE-00029,5,2026-07-31,RL-KPT,1200,COGS relief July,0,237371.62
JE-00029,6,2026-07-31,RL-KPT,1010,Customer collections July,309731.52,0
JE-00029,7,2026-07-31,RL-KPT,1100,Customer collections July,0,309731.52
JE-00029,8,2026-07-31,RL-KPT,1200,Inventory receipts July,54321.77,0
JE-00029,9,2026-07-31,RL-KPT,2000,Inventory receipts July,0,54321.77
JE-00029,10,2026-07-31,RL-KPT,2000,Vendor payments July,48889.59,0
JE-00029,11,2026-07-31,RL-KPT,1010,Vendor payments July,0,48889.59
JE-00029,12,2026-07-31,RL-KPT,6100,Payroll July,97500.0,0
JE-00029,13,2026-07-31,RL-KPT,1010,Payroll July,0,97500.0
JE-00029,14,2026-07-31,RL-KPT,6200,Rent July,19500.0,0
JE-00029,15,2026-07-31,RL-KPT,1010,Rent July,0,19500.0
JE-00029,16,2026-07-31,RL-KPT,6300,Utilities July,5400.0,0
JE-00029,17,2026-07-31,RL-KPT,1010,Utilities July,0,5400.0
JE-00029,18,2026-07-31,RL-KPT,6500,Supplies July,3150.0,0
JE-00029,19,2026-07-31,RL-KPT,1010,Supplies July,0,3150.0
JE-00029,20,2026-07-31,RL-KPT,6900,Distributions July,22500.0,0
JE-00029,21,2026-07-31,RL-KPT,1010,Distributions July,0,22500.0
JE-00030,1,2026-07-31,RL-JCB,1100,Sales accrual July,257725.94,0
JE-00030,2,2026-07-31,RL-JCB,4000,Sales accrual July,0,253860.05
JE-00030,3,2026-07-31,RL-JCB,4010,Freight recovered July,0,3865.89
JE-00030,4,2026-07-31,RL-JCB,5000,COGS July,193089.29,0
JE-00030,5,2026-07-31,RL-JCB,1200,COGS relief July,0,193089.29
JE-00030,6,2026-07-31,RL-JCB,1010,Customer collections July,249994.16,0
JE-00030,7,2026-07-31,RL-JCB,1100,Customer collections July,0,249994.16
JE-00030,8,2026-07-31,RL-JCB,1200,Inventory receipts July,99351.11,0
JE-00030,9,2026-07-31,RL-JCB,2000,Inventory receipts July,0,99351.11
JE-00030,10,2026-07-31,RL-JCB,2000,Vendor payments July,89416.0,0
JE-00030,11,2026-07-31,RL-JCB,1010,Vendor payments July,0,89416.0
JE-00030,12,2026-07-31,RL-JCB,6100,Payroll July,71500.0,0
JE-00030,13,2026-07-31,RL-JCB,1010,Payroll July,0,71500.0
JE-00030,14,2026-07-31,RL-JCB,6200,Rent July,14300.0,0
JE-00030,15,2026-07-31,RL-JCB,1010,Rent July,0,14300.0
JE-00030,16,2026-07-31,RL-JCB,6300,Utilities July,3960.0,0
JE-00030,17,2026-07-31,RL-JCB,1010,Utilities July,0,3960.0
JE-00030,18,2026-07-31,RL-JCB,6500,Supplies July,2310.0,0
JE-00030,19,2026-07-31,RL-JCB,1010,Supplies July,0,2310.0
JE-00030,20,2026-07-31,RL-JCB,6900,Distributions July,16500.0,0
JE-00030,21,2026-07-31,RL-JCB,1010,Distributions July,0,16500.0
JE-00031,1,2026-08-31,RL-BRI,1100,Sales accrual August,461151.03,0
JE-00031,2,2026-08-31,RL-BRI,4000,Sales accrual August,0,454233.76
JE-00031,3,2026-08-31,RL-BRI,4010,Freight recovered August,0,6917.27
JE-00031,4,2026-08-31,RL-BRI,5000,COGS August,341097.0,0
JE-00031,5,2026-08-31,RL-BRI,1200,COGS relief August,0,341097.0
JE-00031,6,2026-08-31,RL-BRI,1010,Customer collections August,447316.5,0
JE-00031,7,2026-08-31,RL-BRI,1100,Customer collections August,0,447316.5
JE-00031,8,2026-08-31,RL-BRI,1200,Inventory receipts August,36932.66,0
JE-00031,9,2026-08-31,RL-BRI,2000,Inventory receipts August,0,36932.66
JE-00031,10,2026-08-31,RL-BRI,2000,Vendor payments August,33239.39,0
JE-00031,11,2026-08-31,RL-BRI,1010,Vendor payments August,0,33239.39
JE-00031,12,2026-08-31,RL-BRI,6100,Payroll August,130000.0,0
JE-00031,13,2026-08-31,RL-BRI,1010,Payroll August,0,130000.0
JE-00031,14,2026-08-31,RL-BRI,6200,Rent August,26000.0,0
JE-00031,15,2026-08-31,RL-BRI,1010,Rent August,0,26000.0
JE-00031,16,2026-08-31,RL-BRI,6300,Utilities August,7200.0,0
JE-00031,17,2026-08-31,RL-BRI,1010,Utilities August,0,7200.0
JE-00031,18,2026-08-31,RL-BRI,6500,Supplies August,4200.0,0
JE-00031,19,2026-08-31,RL-BRI,1010,Supplies August,0,4200.0
JE-00031,20,2026-08-31,RL-BRI,6900,Distributions August,30000.0,0
JE-00031,21,2026-08-31,RL-BRI,1010,Distributions August,0,30000.0
JE-00032,1,2026-08-31,RL-KPT,1100,Sales accrual August,281235.4,0
JE-00032,2,2026-08-31,RL-KPT,4000,Sales accrual August,0,277016.87
JE-00032,3,2026-08-31,RL-KPT,4010,Freight recovered August,0,4218.53
JE-00032,4,2026-08-31,RL-KPT,5000,COGS August,207669.83,0
JE-00032,5,2026-08-31,RL-KPT,1200,COGS relief August,0,207669.83
JE-00032,6,2026-08-31,RL-KPT,1010,Customer collections August,272798.34,0
JE-00032,7,2026-08-31,RL-KPT,1100,Customer collections August,0,272798.34
JE-00032,8,2026-08-31,RL-KPT,1200,Inventory receipts August,35895.82,0
JE-00032,9,2026-08-31,RL-KPT,2000,Inventory receipts August,0,35895.82
JE-00032,10,2026-08-31,RL-KPT,2000,Vendor payments August,32306.24,0
JE-00032,11,2026-08-31,RL-KPT,1010,Vendor payments August,0,32306.24
JE-00032,12,2026-08-31,RL-KPT,6100,Payroll August,97500.0,0
JE-00032,13,2026-08-31,RL-KPT,1010,Payroll August,0,97500.0
JE-00032,14,2026-08-31,RL-KPT,6200,Rent August,19500.0,0
JE-00032,15,2026-08-31,RL-KPT,1010,Rent August,0,19500.0
JE-00032,16,2026-08-31,RL-KPT,6300,Utilities August,5400.0,0
JE-00032,17,2026-08-31,RL-KPT,1010,Utilities August,0,5400.0
JE-00032,18,2026-08-31,RL-KPT,6500,Supplies August,3150.0,0
JE-00032,19,2026-08-31,RL-KPT,1010,Supplies August,0,3150.0
JE-00032,20,2026-08-31,RL-KPT,6900,Distributions August,22500.0,0
JE-00032,21,2026-08-31,RL-KPT,1010,Distributions August,0,22500.0
JE-00033,1,2026-08-31,RL-JCB,1100,Sales accrual August,130938.56,0
JE-00033,2,2026-08-31,RL-JCB,4000,Sales accrual August,0,128974.48
JE-00033,3,2026-08-31,RL-JCB,4010,Freight recovered August,0,1964.08
JE-00033,4,2026-08-31,RL-JCB,5000,COGS August,95175.44,0
JE-00033,5,2026-08-31,RL-JCB,1200,COGS relief August,0,95175.44
JE-00033,6,2026-08-31,RL-JCB,1010,Customer collections August,127010.4,0
JE-00033,7,2026-08-31,RL-JCB,1100,Customer collections August,0,127010.4
JE-00033,8,2026-08-31,RL-JCB,1200,Inventory receipts August,27032.0,0
JE-00033,9,2026-08-31,RL-JCB,2000,Inventory receipts August,0,27032.0
JE-00033,10,2026-08-31,RL-JCB,2000,Vendor payments August,24328.8,0
JE-00033,11,2026-08-31,RL-JCB,1010,Vendor payments August,0,24328.8
JE-00033,12,2026-08-31,RL-JCB,6100,Payroll August,71500.0,0
JE-00033,13,2026-08-31,RL-JCB,1010,Payroll August,0,71500.0
JE-00033,14,2026-08-31,RL-JCB,6200,Rent August,14300.0,0
JE-00033,15,2026-08-31,RL-JCB,1010,Rent August,0,14300.0
JE-00033,16,2026-08-31,RL-JCB,6300,Utilities August,3960.0,0
JE-00033,17,2026-08-31,RL-JCB,1010,Utilities August,0,3960.0
JE-00033,18,2026-08-31,RL-JCB,6500,Supplies August,2310.0,0
JE-00033,19,2026-08-31,RL-JCB,1010,Supplies August,0,2310.0
JE-00033,20,2026-08-31,RL-JCB,6900,Distributions August,16500.0,0
JE-00033,21,2026-08-31,RL-JCB,1010,Distributions August,0,16500.0
