order_no,line_no,order_date,customer_no,branch_code,salesperson_code,item_no,uom,ordered_qty,filled_qty,cancelled_qty,unit_price,unit_cost,promised_date,shipped_date,order_status
SO-10158,1,2026-03-03,CT-1007,RL-BRI,S101,RM-1021,EA,157,157,0,38.43,28.10,2026-03-06,2026-03-04,SHIPPED
SO-10158,2,2026-03-03,CT-1007,RL-BRI,S101,DW-6002,EA,14,14,0,276.63,208.10,2026-03-06,2026-03-04,SHIPPED
SO-10158,3,2026-03-03,CT-1007,RL-BRI,S101,TL-9001,EA,174,174,0,5.71,4.50,2026-03-06,2026-03-04,SHIPPED
SO-10158,4,2026-03-03,CT-1007,RL-BRI,S101,DW-6001,EA,19,19,0,83.05,64.10,2026-03-06,2026-03-04,SHIPPED
SO-10158,5,2026-03-03,CT-1007,RL-BRI,S101,CM-3020,EA,97,97,0,13.21,10.25,2026-03-06,2026-03-04,SHIPPED
SO-10159,1,2026-03-03,CT-1006,RL-BRI,S102,CM-3010,BG,87,87,0,12.18,9.30,2026-03-07,2026-03-04,SHIPPED
SO-10159,2,2026-03-03,CT-1006,RL-BRI,S102,RF-4020,LF,546,546,0,2.27,1.69,2026-03-07,2026-03-04,SHIPPED
SO-10159,3,2026-03-03,CT-1006,RL-BRI,S102,CM-3001,BG,772,772,0,6.44,4.95,2026-03-07,2026-03-04,SHIPPED
SO-10160,1,2026-03-04,BL-3001,RL-JCB,S104,RM-1002,EA,312,312,0,6.00,4.95,2026-03-10,2026-03-08,SHIPPED
SO-10160,2,2026-03-04,BL-3001,RL-JCB,S104,RM-1010,EA,266,266,0,17.50,13.50,2026-03-10,2026-03-08,SHIPPED
SO-10161,1,2026-03-04,CT-1004,RL-BRI,S102,TL-9002,EA,323,323,0,8.78,6.40,2026-03-10,2026-03-05,SHIPPED
SO-10161,2,2026-03-04,CT-1004,RL-BRI,S102,PT-5002,EA,103,103,0,30.46,23.70,2026-03-10,2026-03-05,SHIPPED
SO-10161,3,2026-03-04,CT-1004,RL-BRI,S102,RM-1020,EA,257,257,0,5.13,4.05,2026-03-10,2026-03-05,SHIPPED
SO-10161,4,2026-03-04,CT-1004,RL-BRI,S102,CM-3002,BG,558,558,0,5.23,3.90,2026-03-10,2026-03-05,SHIPPED
SO-10162,1,2026-03-04,CT-1005,RL-KPT,S103,RM-1001,EA,753,753,0,3.96,2.86,2026-03-11,2026-03-06,SHIPPED
SO-10163,1,2026-03-05,CT-1005,RL-BRI,S102,RM-1001,EA,1561,1561,0,3.92,2.86,2026-03-09,2026-03-09,SHIPPED
SO-10163,2,2026-03-05,CT-1005,RL-BRI,S102,PT-5010,EA,518,518,0,11.70,9.05,2026-03-09,2026-03-09,SHIPPED
SO-10163,3,2026-03-05,CT-1005,RL-BRI,S102,RM-1021,EA,113,113,0,36.09,28.10,2026-03-09,2026-03-09,SHIPPED
SO-10163,4,2026-03-05,CT-1005,RL-BRI,S102,RF-4020,LF,1120,1120,0,2.28,1.69,2026-03-09,2026-03-09,SHIPPED
SO-10164,1,2026-03-05,CT-1005,RL-BRI,S101,TL-9002,EA,469,469,0,8.38,6.40,2026-03-07,2026-03-07,SHIPPED
SO-10164,2,2026-03-05,CT-1005,RL-BRI,S101,PT-5011,BG,183,183,0,18.39,13.25,2026-03-07,2026-03-07,SHIPPED
SO-10164,3,2026-03-05,CT-1005,RL-BRI,S101,CM-3001,BG,669,669,0,6.64,4.95,2026-03-07,2026-03-07,SHIPPED
SO-10164,4,2026-03-05,CT-1005,RL-BRI,S101,TL-9001,EA,630,630,0,5.94,4.50,2026-03-07,2026-03-07,SHIPPED
SO-10164,5,2026-03-05,CT-1005,RL-BRI,S101,FS-2010,EA,1466,1466,0,1.70,1.33,2026-03-07,2026-03-07,SHIPPED
SO-10165,1,2026-03-05,CT-1002,RL-KPT,S105,CM-3010,BG,98,98,0,12.01,9.30,2026-03-12,2026-03-08,SHIPPED
SO-10165,2,2026-03-05,CT-1002,RL-KPT,S105,PT-5001,EA,141,141,0,42.35,32.20,2026-03-12,2026-03-08,SHIPPED
SO-10165,3,2026-03-05,CT-1002,RL-KPT,S105,RM-1022,EA,394,394,0,8.58,6.45,2026-03-12,2026-03-08,SHIPPED
SO-10165,4,2026-03-05,CT-1002,RL-KPT,S105,RM-1011,EA,325,325,0,22.71,17.95,2026-03-12,2026-03-08,SHIPPED
SO-10165,5,2026-03-05,CT-1002,RL-KPT,S105,PT-5011,BG,110,110,0,18.16,13.25,2026-03-12,2026-03-08,SHIPPED
SO-10166,1,2026-03-05,CT-1003,RL-BRI,S101,FS-2011,EA,83,83,0,46.71,34.90,2026-03-09,2026-03-09,SHIPPED
SO-10166,2,2026-03-05,CT-1003,RL-BRI,S101,FS-2011,EA,47,32,0,44.67,34.90,2026-03-09,2026-03-09,SHIPPED
SO-10166,3,2026-03-05,CT-1003,RL-BRI,S101,FS-2010,EA,1125,1125,0,1.81,1.33,2026-03-09,2026-03-09,SHIPPED
SO-10166,4,2026-03-05,CT-1003,RL-BRI,S101,RM-1020,EA,188,188,0,5.28,4.05,2026-03-09,2026-03-09,SHIPPED
SO-10167,1,2026-03-06,CT-1008,RL-BRI,S101,CM-3001,BG,328,260,0,6.32,4.95,2026-03-12,2026-03-09,SHIPPED
SO-10167,2,2026-03-06,CT-1008,RL-BRI,S101,PT-5002,EA,98,98,0,31.27,23.70,2026-03-12,2026-03-09,SHIPPED
SO-10168,1,2026-03-06,CT-1005,RL-BRI,S101,FS-2001,BX,206,206,0,26.67,20.60,2026-03-10,2026-03-09,SHIPPED
SO-10168,2,2026-03-06,CT-1005,RL-BRI,S101,CM-3001,BG,482,482,0,6.72,4.95,2026-03-10,2026-03-09,SHIPPED
SO-10168,3,2026-03-06,CT-1005,RL-BRI,S101,RM-1002,EA,633,633,0,6.25,4.95,2026-03-10,2026-03-09,SHIPPED
SO-10169,1,2026-03-06,CT-1001,RL-KPT,S103,RF-4001,BNDL,581,581,0,37.18,27.90,2026-03-08,2026-03-10,SHIPPED
SO-10169,2,2026-03-06,CT-1001,RL-KPT,S103,RM-1010,EA,637,637,0,16.91,13.50,2026-03-08,2026-03-10,SHIPPED
SO-10169,3,2026-03-06,CT-1001,RL-KPT,S103,RM-1022,EA,366,366,0,8.54,6.45,2026-03-08,2026-03-10,SHIPPED
SO-10170,1,2026-03-07,RT-2001,RL-KPT,S001,FS-2001,BX,173,173,0,28.50,20.60,2026-03-14,2026-03-10,SHIPPED
SO-10171,1,2026-03-07,RT-2003,RL-BRI,S001,CM-3001,BG,684,684,0,6.85,4.95,2026-03-09,2026-03-10,SHIPPED
SO-10172,1,2026-03-07,RT-2003,RL-KPT,S001,RM-1022,EA,581,417,0,8.95,6.45,2026-03-10,2026-03-08,PARTIAL
SO-10172,2,2026-03-07,RT-2003,RL-KPT,S001,FS-2002,BX,339,258,0,32.75,23.60,2026-03-10,2026-03-08,PARTIAL
SO-10172,3,2026-03-07,RT-2003,RL-KPT,S001,RM-1011,EA,431,211,0,24.90,17.95,2026-03-10,2026-03-08,PARTIAL
SO-10172,4,2026-03-07,RT-2003,RL-KPT,S001,RF-4001,BNDL,512,324,0,38.75,27.90,2026-03-10,2026-03-08,PARTIAL
SO-10173,1,2026-03-07,RT-2002,RL-KPT,S001,RF-4020,LF,523,523,0,2.35,1.69,2026-03-09,2026-03-10,SHIPPED
SO-10173,2,2026-03-07,RT-2002,RL-KPT,S001,RM-1003,EA,110,110,0,11.40,8.25,2026-03-09,2026-03-10,SHIPPED
SO-10174,1,2026-03-07,RT-2002,RL-BRI,S001,FS-2011,EA,32,32,0,48.50,34.90,2026-03-12,2026-03-10,SHIPPED
SO-10174,2,2026-03-07,RT-2002,RL-BRI,S001,SX-7010,EA,146,146,0,14.80,10.65,2026-03-12,2026-03-10,SHIPPED
SO-10174,3,2026-03-07,RT-2002,RL-BRI,S001,TL-9001,EA,574,574,0,6.25,4.50,2026-03-12,2026-03-10,SHIPPED
SO-10174,4,2026-03-07,RT-2002,RL-BRI,S001,FS-2010,EA,526,526,0,1.85,1.33,2026-03-12,2026-03-10,SHIPPED
SO-10174,5,2026-03-07,RT-2002,RL-BRI,S001,RM-1010,EA,1133,1133,0,18.75,13.50,2026-03-12,2026-03-10,SHIPPED
SO-10175,1,2026-03-09,CT-1007,RL-JCB,S104,FS-2001,BX,138,138,0,28.18,20.60,2026-03-15,2026-03-12,SHIPPED
SO-10175,2,2026-03-09,CT-1007,RL-JCB,S104,SX-7001,SQ,17,17,0,88.02,68.05,2026-03-15,2026-03-12,SHIPPED
SO-10175,3,2026-03-09,CT-1007,RL-JCB,S104,CM-3010,BG,141,141,0,12.05,9.30,2026-03-15,2026-03-12,SHIPPED
SO-10175,4,2026-03-09,CT-1007,RL-JCB,S104,RM-1021,EA,58,58,0,36.88,28.10,2026-03-15,2026-03-12,SHIPPED
SO-10176,1,2026-03-09,CT-1007,RL-BRI,S101,RM-1011,EA,591,591,0,23.23,17.95,2026-03-11,2026-03-13,SHIPPED
SO-10176,2,2026-03-09,CT-1007,RL-BRI,S101,RF-4002,BNDL,56,56,0,50.43,37.65,2026-03-11,2026-03-13,SHIPPED
SO-10177,1,2026-03-10,CT-1004,RL-BRI,S102,TL-9002,EA,378,250,0,8.04,6.40,2026-03-16,2026-03-13,SHIPPED
SO-10177,2,2026-03-10,CT-1004,RL-BRI,S102,RM-1001,EA,2171,2171,0,3.97,2.86,2026-03-16,2026-03-13,SHIPPED
SO-10177,3,2026-03-10,CT-1004,RL-BRI,S102,RF-4011,RL,114,114,0,105.72,78.85,2026-03-16,2026-03-13,SHIPPED
SO-10177,4,2026-03-10,CT-1004,RL-BRI,S102,SX-7010,EA,322,322,0,13.40,10.65,2026-03-16,2026-03-13,SHIPPED
SO-10178,1,2026-03-10,CT-1004,RL-JCB,S104,RM-1022,EA,148,148,0,8.06,6.45,2026-03-16,2026-03-13,SHIPPED
SO-10178,2,2026-03-10,CT-1004,RL-JCB,S104,PT-5002,EA,100,100,0,30.57,23.70,2026-03-16,2026-03-13,SHIPPED
SO-10178,3,2026-03-10,CT-1004,RL-JCB,S104,PT-5010,EA,332,188,0,11.52,9.05,2026-03-16,2026-03-13,SHIPPED
SO-10178,4,2026-03-10,CT-1004,RL-JCB,S104,DW-6002,EA,6,6,0,265.52,208.10,2026-03-16,2026-03-13,SHIPPED
SO-10178,5,2026-03-10,CT-1004,RL-JCB,S104,DW-6001,EA,16,16,0,81.80,64.10,2026-03-16,2026-03-13,SHIPPED
SO-10179,1,2026-03-10,CT-1006,RL-BRI,S102,FS-2001,BX,406,323,0,27.23,20.60,2026-03-12,2026-03-14,SHIPPED
SO-10179,2,2026-03-10,CT-1006,RL-BRI,S102,DW-6010,EA,37,37,0,296.66,224.60,2026-03-12,2026-03-14,SHIPPED
SO-10179,3,2026-03-10,CT-1006,RL-BRI,S102,FS-2011,EA,77,77,0,47.60,34.90,2026-03-12,2026-03-14,SHIPPED
SO-10179,4,2026-03-10,CT-1006,RL-BRI,S102,RM-1021,EA,99,99,0,38.44,28.10,2026-03-12,2026-03-14,SHIPPED
SO-10179,5,2026-03-10,CT-1006,RL-BRI,S102,PT-5011,BG,127,127,0,17.83,13.25,2026-03-12,2026-03-14,SHIPPED
SO-10180,1,2026-03-11,CT-1005,RL-BRI,S102,RF-4020,LF,975,975,0,2.26,1.69,2026-03-15,2026-03-14,SHIPPED
SO-10180,2,2026-03-11,CT-1005,RL-BRI,S102,CM-3001,BG,529,529,0,6.64,4.95,2026-03-15,2026-03-14,SHIPPED
SO-10180,3,2026-03-11,CT-1005,RL-BRI,S102,FS-2001,BX,412,412,0,28.38,20.60,2026-03-15,2026-03-14,SHIPPED
SO-10180,4,2026-03-11,CT-1005,RL-BRI,S102,RF-4020,LF,973,973,0,2.25,1.69,2026-03-15,2026-03-14,SHIPPED
SO-10181,1,2026-03-11,BL-3002,RL-KPT,S105,RM-1002,EA,613,320,0,6.04,4.95,2026-03-18,2026-03-12,SHIPPED
SO-10181,2,2026-03-11,BL-3002,RL-KPT,S105,FS-2010,EA,1238,1238,0,1.61,1.33,2026-03-18,2026-03-12,SHIPPED
SO-10181,3,2026-03-11,BL-3002,RL-KPT,S105,RM-1010,EA,656,656,0,17.26,13.50,2026-03-18,2026-03-12,SHIPPED
SO-10181,4,2026-03-11,BL-3002,RL-KPT,S105,RM-1003,EA,237,237,0,10.37,8.25,2026-03-18,2026-03-12,SHIPPED
SO-10181,5,2026-03-11,BL-3002,RL-KPT,S105,CM-3010,BG,157,157,0,11.34,9.30,2026-03-18,2026-03-12,SHIPPED
SO-10182,1,2026-03-12,CT-1005,RL-KPT,S103,RM-1010,EA,205,205,0,18.04,13.50,2026-03-17,2026-03-15,SHIPPED
SO-10182,2,2026-03-12,CT-1005,RL-KPT,S103,SX-7001,SQ,76,76,0,91.71,68.05,2026-03-17,2026-03-15,SHIPPED
SO-10182,3,2026-03-12,CT-1005,RL-KPT,S103,PT-5010,EA,477,477,0,12.10,9.05,2026-03-17,2026-03-15,SHIPPED
SO-10182,4,2026-03-12,CT-1005,RL-KPT,S103,CM-3001,BG,463,463,0,6.63,4.95,2026-03-17,2026-03-15,SHIPPED
SO-10183,1,2026-03-12,CT-1003,RL-JCB,S104,RF-4001,BNDL,120,120,0,38.51,27.90,2026-03-17,2026-03-14,SHIPPED
SO-10184,1,2026-03-12,CT-1001,RL-BRI,S102,PT-5002,EA,59,59,0,31.34,23.70,2026-03-18,2026-03-15,SHIPPED
SO-10185,1,2026-03-12,CT-1003,RL-KPT,S103,CM-3002,BG,348,203,0,5.02,3.90,2026-03-17,2026-03-14,PARTIAL
SO-10185,2,2026-03-12,CT-1003,RL-KPT,S103,TL-9001,EA,508,396,0,6.24,4.50,2026-03-17,2026-03-14,PARTIAL
SO-10185,3,2026-03-12,CT-1003,RL-KPT,S103,RM-1001,EA,594,350,0,3.68,2.86,2026-03-17,2026-03-14,PARTIAL
SO-10185,4,2026-03-12,CT-1003,RL-KPT,S103,CM-3020,EA,266,192,0,13.28,10.25,2026-03-17,2026-03-14,PARTIAL
SO-10185,5,2026-03-12,CT-1003,RL-KPT,S103,RM-1022,EA,350,233,0,8.31,6.45,2026-03-17,2026-03-14,PARTIAL
SO-10186,1,2026-03-13,CT-1006,RL-KPT,S105,RM-1021,EA,50,50,0,37.10,28.10,2026-03-18,2026-03-16,SHIPPED
SO-10187,1,2026-03-13,CT-1001,RL-KPT,S103,DW-6010,EA,22,22,0,304.10,224.60,2026-03-20,2026-03-14,SHIPPED
SO-10187,2,2026-03-13,CT-1001,RL-KPT,S103,FS-2002,BX,87,87,0,29.60,23.60,2026-03-20,2026-03-14,SHIPPED
SO-10188,1,2026-03-13,CT-1002,RL-BRI,S102,SX-7001,SQ,83,83,0,85.21,68.05,2026-03-19,2026-03-16,SHIPPED
SO-10189,1,2026-03-13,CT-1002,RL-KPT,S103,RM-1021,EA,64,64,0,37.37,28.10,2026-03-20,2026-03-16,SHIPPED
SO-10189,2,2026-03-13,CT-1002,RL-KPT,S103,RF-4010,RL,192,192,0,28.09,21.50,2026-03-20,2026-03-16,SHIPPED
SO-10189,3,2026-03-13,CT-1002,RL-KPT,S103,RM-1002,EA,698,698,0,6.26,4.95,2026-03-20,2026-03-16,SHIPPED
SO-10189,4,2026-03-13,CT-1002,RL-KPT,S103,DW-6001,EA,47,47,0,82.73,64.10,2026-03-20,2026-03-16,SHIPPED
SO-10189,5,2026-03-13,CT-1002,RL-KPT,S103,FS-2002,BX,161,161,0,32.64,23.60,2026-03-20,2026-03-16,SHIPPED
SO-10190,1,2026-03-14,RT-2001,RL-KPT,S001,RM-1020,EA,199,149,0,5.60,4.05,2026-03-20,2026-03-18,PARTIAL
SO-10190,2,2026-03-14,RT-2001,RL-KPT,S001,PT-5002,EA,61,50,0,32.90,23.70,2026-03-20,2026-03-18,PARTIAL
SO-10191,1,2026-03-14,RT-2001,RL-BRI,S001,RM-1010,EA,1017,1017,0,18.75,13.50,2026-03-17,2026-03-16,SHIPPED
SO-10191,2,2026-03-14,RT-2001,RL-BRI,S001,SX-7010,EA,242,242,0,14.80,10.65,2026-03-17,2026-03-16,SHIPPED
SO-10191,3,2026-03-14,RT-2001,RL-BRI,S001,RM-1011,EA,308,308,0,24.90,17.95,2026-03-17,2026-03-16,SHIPPED
SO-10191,4,2026-03-14,RT-2001,RL-BRI,S001,TL-9002,EA,453,453,0,8.90,6.40,2026-03-17,2026-03-16,SHIPPED
SO-10191,5,2026-03-14,RT-2001,RL-BRI,S001,CM-3020,EA,111,111,0,14.25,10.25,2026-03-17,2026-03-16,SHIPPED
SO-10192,1,2026-03-14,RT-2002,RL-KPT,S001,PT-5010,EA,500,500,0,12.60,9.05,2026-03-18,2026-03-16,SHIPPED
SO-10192,2,2026-03-14,RT-2002,RL-KPT,S001,FS-2010,EA,290,290,0,1.85,1.33,2026-03-18,2026-03-16,SHIPPED
SO-10192,3,2026-03-14,RT-2002,RL-KPT,S001,CM-3010,BG,152,152,0,12.90,9.30,2026-03-18,2026-03-16,SHIPPED
SO-10192,4,2026-03-14,RT-2002,RL-KPT,S001,RF-4002,BNDL,137,137,0,52.30,37.65,2026-03-18,2026-03-16,SHIPPED
SO-10192,5,2026-03-14,RT-2002,RL-KPT,S001,PT-5001,EA,248,248,0,44.75,32.20,2026-03-18,2026-03-16,SHIPPED
SO-10193,1,2026-03-14,RT-2002,RL-KPT,S001,FS-2001,BX,287,152,0,28.50,20.60,2026-03-16,2026-03-17,PARTIAL
SO-10193,2,2026-03-14,RT-2002,RL-KPT,S001,RM-1011,EA,433,349,0,24.90,17.95,2026-03-16,2026-03-17,PARTIAL
SO-10194,1,2026-03-16,CT-1001,RL-JCB,S104,FS-2002,BX,132,132,0,32.00,23.60,2026-03-22,2026-03-20,SHIPPED
SO-10194,2,2026-03-16,CT-1001,RL-JCB,S104,RF-4010,RL,57,57,0,27.18,21.50,2026-03-22,2026-03-20,SHIPPED
SO-10195,1,2026-03-16,CT-1006,RL-KPT,S103,FS-2002,BX,281,281,0,30.65,23.60,2026-03-22,2026-03-18,SHIPPED
SO-10195,2,2026-03-16,CT-1006,RL-KPT,S103,CM-3010,BG,160,160,0,11.95,9.30,2026-03-22,2026-03-18,SHIPPED
SO-10196,1,2026-03-16,CT-1004,RL-BRI,S101,RM-1021,EA,145,145,0,38.24,28.10,2026-03-22,2026-03-25,SHIPPED
SO-10196,2,2026-03-16,CT-1004,RL-BRI,S101,RF-4001,BNDL,634,634,0,36.33,27.90,2026-03-22,2026-03-25,SHIPPED
SO-10196,3,2026-03-16,CT-1004,RL-BRI,S101,PT-5011,BG,117,117,0,18.10,13.25,2026-03-22,2026-03-25,SHIPPED
SO-10197,1,2026-03-16,BL-3001,RL-BRI,S101,RM-1001,EA,1543,1543,0,3.48,2.86,2026-03-22,2026-03-20,SHIPPED
SO-10197,2,2026-03-16,BL-3001,RL-BRI,S101,RM-1011,EA,457,457,0,21.71,17.95,2026-03-22,2026-03-20,SHIPPED
SO-10197,3,2026-03-16,BL-3001,RL-BRI,S101,FS-2010,EA,848,848,0,1.61,1.33,2026-03-22,2026-03-20,SHIPPED
SO-10197,4,2026-03-16,BL-3001,RL-BRI,S101,CM-3010,BG,143,143,0,11.21,9.30,2026-03-22,2026-03-20,SHIPPED
SO-10198,1,2026-03-17,CT-1008,RL-KPT,S103,RM-1003,EA,153,0,153,10.94,8.25,2026-03-24,,CANCELLED
SO-10198,2,2026-03-17,CT-1008,RL-KPT,S103,FS-2001,BX,224,0,224,25.76,20.60,2026-03-24,,CANCELLED
SO-10198,3,2026-03-17,CT-1008,RL-KPT,S103,FS-2002,BX,95,0,95,30.32,23.60,2026-03-24,,CANCELLED
SO-10198,4,2026-03-17,CT-1008,RL-KPT,S103,FS-2011,EA,47,0,47,45.62,34.90,2026-03-24,,CANCELLED
SO-10199,1,2026-03-17,BL-3002,RL-KPT,S105,DW-6002,EA,18,18,0,267.51,208.10,2026-03-19,2026-03-21,SHIPPED
SO-10199,2,2026-03-17,BL-3002,RL-KPT,S105,FS-2011,EA,54,54,0,42.36,34.90,2026-03-19,2026-03-21,SHIPPED
SO-10200,1,2026-03-17,CT-1006,RL-JCB,S104,DW-6002,EA,16,11,0,265.23,208.10,2026-03-20,2026-03-19,PARTIAL
SO-10200,2,2026-03-17,CT-1006,RL-JCB,S104,RM-1003,EA,312,207,0,11.12,8.25,2026-03-20,2026-03-19,PARTIAL
SO-10200,3,2026-03-17,CT-1006,RL-JCB,S104,RM-1020,EA,190,95,0,5.38,4.05,2026-03-20,2026-03-19,PARTIAL
SO-10200,4,2026-03-17,CT-1006,RL-JCB,S104,RM-1001,EA,1270,965,0,3.84,2.86,2026-03-20,2026-03-19,PARTIAL
SO-10201,1,2026-03-17,BL-3001,RL-BRI,S101,PT-5011,BG,115,115,0,17.16,13.25,2026-03-24,2026-03-21,SHIPPED
SO-10201,2,2026-03-17,BL-3001,RL-BRI,S101,RM-1021,EA,105,105,0,35.84,28.10,2026-03-24,2026-03-21,SHIPPED
SO-10201,3,2026-03-17,BL-3001,RL-BRI,S101,RM-1020,EA,256,256,0,5.00,4.05,2026-03-24,2026-03-21,SHIPPED
SO-10201,4,2026-03-17,BL-3001,RL-BRI,S101,CM-3001,BG,314,314,0,5.89,4.95,2026-03-24,2026-03-21,SHIPPED
SO-10201,5,2026-03-17,BL-3001,RL-BRI,S101,RM-1022,EA,559,559,0,7.84,6.45,2026-03-24,2026-03-21,SHIPPED
SO-10202,1,2026-03-18,CT-1007,RL-BRI,S101,RF-4002,BNDL,208,208,0,48.14,37.65,2026-03-23,2026-03-22,SHIPPED
SO-10202,2,2026-03-18,CT-1007,RL-BRI,S101,TL-9001,EA,248,248,0,5.93,4.50,2026-03-23,2026-03-22,SHIPPED
SO-10202,3,2026-03-18,CT-1007,RL-BRI,S101,RF-4011,RL,85,85,0,102.91,78.85,2026-03-23,2026-03-22,SHIPPED
SO-10202,4,2026-03-18,CT-1007,RL-BRI,S101,FS-2001,BX,371,371,0,27.78,20.60,2026-03-23,2026-03-22,SHIPPED
SO-10202,5,2026-03-18,CT-1007,RL-BRI,S101,SX-7001,SQ,98,98,0,86.00,68.05,2026-03-23,2026-03-22,SHIPPED
SO-10203,1,2026-03-18,BL-3001,RL-BRI,S102,RM-1001,EA,2129,2129,0,3.57,2.86,2026-03-24,2026-03-20,SHIPPED
SO-10203,2,2026-03-18,BL-3001,RL-BRI,S102,DW-6010,EA,12,12,0,277.58,224.60,2026-03-24,2026-03-20,SHIPPED
SO-10203,3,2026-03-18,BL-3001,RL-BRI,S102,RM-1003,EA,494,494,0,10.17,8.25,2026-03-24,2026-03-20,SHIPPED
SO-10203,4,2026-03-18,BL-3001,RL-BRI,S102,RF-4010,RL,244,244,0,27.98,21.50,2026-03-24,2026-03-20,SHIPPED
SO-10203,5,2026-03-18,BL-3001,RL-BRI,S102,FS-2011,EA,73,73,0,42.49,34.90,2026-03-24,2026-03-20,SHIPPED
SO-10204,1,2026-03-18,BL-3001,RL-BRI,S101,PT-5010,EA,323,182,0,11.84,9.05,2026-03-24,2026-03-20,SHIPPED
SO-10204,2,2026-03-18,BL-3001,RL-BRI,S101,DW-6001,EA,38,38,0,80.71,64.10,2026-03-24,2026-03-20,SHIPPED
SO-10204,3,2026-03-18,BL-3001,RL-BRI,S101,RM-1001,EA,1998,1071,0,3.51,2.86,2026-03-24,2026-03-20,SHIPPED
SO-10204,4,2026-03-18,BL-3001,RL-BRI,S101,PT-5002,EA,104,104,0,28.89,23.70,2026-03-24,2026-03-20,SHIPPED
SO-10204,5,2026-03-18,BL-3001,RL-BRI,S101,CM-3001,BG,786,786,0,5.89,4.95,2026-03-24,2026-03-20,SHIPPED
SO-10205,1,2026-03-19,CT-1007,RL-KPT,S103,RF-4001,BNDL,539,451,0,37.06,27.90,2026-03-25,2026-03-22,PARTIAL
SO-10205,2,2026-03-19,CT-1007,RL-KPT,S103,CM-3020,EA,223,186,0,13.48,10.25,2026-03-25,2026-03-22,PARTIAL
SO-10205,3,2026-03-19,CT-1007,RL-KPT,S103,SX-7010,EA,230,183,0,14.03,10.65,2026-03-25,2026-03-22,PARTIAL
SO-10206,1,2026-03-19,CT-1005,RL-BRI,S101,RM-1001,EA,1928,1928,0,3.70,2.86,2026-03-26,2026-03-22,SHIPPED
SO-10206,2,2026-03-19,CT-1005,RL-BRI,S101,DW-6001,EA,56,56,0,80.78,64.10,2026-03-26,2026-03-22,SHIPPED
SO-10207,1,2026-03-20,CT-1008,RL-BRI,S101,CM-3001,BG,555,555,0,6.35,4.95,2026-03-26,2026-03-22,SHIPPED
SO-10207,2,2026-03-20,CT-1008,RL-BRI,S101,CM-3010,BG,100,100,0,12.41,9.30,2026-03-26,2026-03-22,SHIPPED
SO-10207,3,2026-03-20,CT-1008,RL-BRI,S101,FS-2002,BX,390,390,0,29.73,23.60,2026-03-26,2026-03-22,SHIPPED
SO-10208,1,2026-03-20,CT-1008,RL-KPT,S103,RF-4002,BNDL,84,84,0,47.74,37.65,2026-03-25,2026-03-23,SHIPPED
SO-10208,2,2026-03-20,CT-1008,RL-KPT,S103,DW-6010,EA,18,18,0,296.48,224.60,2026-03-25,2026-03-23,SHIPPED
SO-10208,3,2026-03-20,CT-1008,RL-KPT,S103,DW-6001,EA,50,50,0,84.17,64.10,2026-03-25,2026-03-23,SHIPPED
SO-10209,1,2026-03-21,RT-2002,RL-BRI,S001,RF-4001,BNDL,350,350,0,38.75,27.90,2026-03-23,2026-03-22,SHIPPED
SO-10210,1,2026-03-21,RT-2003,RL-BRI,S001,DW-6001,EA,34,34,0,89.00,64.10,2026-03-24,2026-03-24,SHIPPED
SO-10210,2,2026-03-21,RT-2003,RL-BRI,S001,FS-2001,BX,411,411,0,28.50,20.60,2026-03-24,2026-03-24,SHIPPED
SO-10210,3,2026-03-21,RT-2003,RL-BRI,S001,RM-1021,EA,148,148,0,38.90,28.10,2026-03-24,2026-03-24,SHIPPED
SO-10210,4,2026-03-21,RT-2003,RL-BRI,S001,DW-6010,EA,37,37,0,312.00,224.60,2026-03-24,2026-03-24,SHIPPED
SO-10211,1,2026-03-23,CT-1003,RL-KPT,S103,RF-4011,RL,40,40,0,99.07,78.85,2026-03-26,2026-03-26,SHIPPED
SO-10211,2,2026-03-23,CT-1003,RL-KPT,S103,RM-1021,EA,107,88,0,36.86,28.10,2026-03-26,2026-03-26,SHIPPED
SO-10211,3,2026-03-23,CT-1003,RL-KPT,S103,RM-1021,EA,81,81,0,36.41,28.10,2026-03-26,2026-03-26,SHIPPED
SO-10211,4,2026-03-23,CT-1003,RL-KPT,S103,RF-4001,BNDL,348,348,0,36.24,27.90,2026-03-26,2026-03-26,SHIPPED
SO-10212,1,2026-03-23,BL-3002,RL-BRI,S101,PT-5011,BG,161,161,0,17.23,13.25,2026-03-27,2026-03-27,SHIPPED
SO-10212,2,2026-03-23,BL-3002,RL-BRI,S101,FS-2010,EA,1208,1208,0,1.65,1.33,2026-03-27,2026-03-27,SHIPPED
SO-10212,3,2026-03-23,BL-3002,RL-BRI,S101,DW-6001,EA,66,66,0,77.69,64.10,2026-03-27,2026-03-27,SHIPPED
SO-10213,1,2026-03-23,CT-1004,RL-BRI,S102,PT-5010,EA,631,631,0,11.91,9.05,2026-03-30,2026-03-27,SHIPPED
SO-10213,2,2026-03-23,CT-1004,RL-BRI,S102,FS-2010,EA,618,489,0,1.79,1.33,2026-03-30,2026-03-27,SHIPPED
SO-10213,3,2026-03-23,CT-1004,RL-BRI,S102,RM-1020,EA,224,224,0,5.09,4.05,2026-03-30,2026-03-27,SHIPPED
SO-10214,1,2026-03-23,CT-1008,RL-KPT,S103,FS-2002,BX,103,85,0,30.75,23.60,2026-03-28,2026-03-26,PARTIAL
